"ID","VERTEX","LAT","LON","ROWNUMBER"
3615,"3","37.97","-74.22",11576
3615,"2","38.64","-74.22",11579
3615,"1","38.64","-75.07",11578
3615,"4","37.97","-75.07",11577
3614,"1","41.11","-72.9",11528
3614,"4","40.44","-72.9",11531
3614,"3","40.44","-72.02",11530
3614,"2","41.11","-72.02",11529
3613,"1","40.68","-73.92",11524
3613,"4","40.01","-73.92",11527
3613,"3","40.01","-73.05",11526
3613,"2","40.68","-73.05",11525
3611,"1","38.97","-75.02",11516
3611,"4","38.31","-75.02",11519
3611,"3","38.31","-74.18",11518
3611,"2","38.97","-74.18",11517
3610,"3","36.38","-75.06",11500
3610,"2","37.05","-75.06",11503
3610,"1","37.05","-75.89",11502
3610,"4","36.38","-75.88",11501
3609,"3","40.34","-69.47",11498
3609,"2","41.07","-69.46",11497
3609,"1","41.07","-70.43",11496
3609,"4","40.34","-70.43",11499
3608,"1","38.64","-75.07",11482
3608,"4","37.97","-75.07",11481
3608,"3","37.97","-74.22",11480
3608,"2","38.64","-74.22",11483
3607,"3","37.97","-74.22",11476
3607,"2","38.64","-74.22",11479
3607,"1","38.64","-75.07",11478
3607,"4","37.97","-75.07",11477
3606,"3","36.38","-75.06",11422
3606,"2","37.05","-75.06",11421
3606,"1","37.05","-75.89",11420
3606,"4","36.38","-75.88",11423
3605,"1","41.07","-70.43",11416
3605,"4","40.34","-70.43",11419
3605,"3","40.34","-69.47",11418
3605,"2","41.07","-69.46",11417
3604,"3","37.97","-74.22",11398
3604,"2","38.64","-74.22",11397
3604,"1","38.64","-75.07",11396
3604,"4","37.97","-75.07",11399
3603,"1","38.64","-75.07",11376
3603,"4","37.97","-75.07",11379
3603,"3","37.97","-74.22",11378
3603,"2","38.64","-74.22",11377
3602,"1","40.59","-73.66",11356
3602,"4","39.93","-73.65",11359
3602,"3","39.93","-72.79",11358
3602,"2","40.59","-72.78",11357
3601,"3","36.65","-74.84",11338
3601,"2","37.38","-74.84",11337
3601,"1","37.38","-75.74",11336
3601,"4","36.65","-75.74",11339
3600,"1","30.07485","-81.5032",11320
3600,"4","29.41515","-81.5032",11323
3600,"3","29.41515	","-80.7434",11322
3600,"2","30.07485","-80.7434",11321
3597,"1","40.59","-73.66",11288
3597,"4","39.93","-73.65",11291
3597,"3","39.93","-72.79",11290
3597,"2","40.59","-72.78",11289
3596,"3","38.74","-73.75",11284
3596,"2","39.41","-73.74",11287
3596,"1","39.41","-74.6",11286
3596,"4","38.74","-74.6",11285
3595,"1","38.64","-75.07",11276
3595,"4","37.97","-75.07",11279
3595,"3","37.97","-74.22",11278
3595,"2","38.64","-74.22",11277
3594,"3","40.34","-69.08",11258
3594,"2","41.07","-69.08",11257
3594,"1","41.07","-70.03",11256
3594,"4","40.34","-70.03",11259
3593,"1","41.06","-70.6",11248
3593,"4","40.4","-70.59",11251
3593,"3","40.4","-69.73",11250
3593,"2","41.06","-69.73",11249
3592,"3","40.71","-69.79",11246
3592,"2","41.42","-69.79",11245
3592,"1","41.42","-70.73",11244
3592,"4","40.71","-70.72",11247
3591,"1","41.06","-70.6",11240
3591,"4","40.4","-70.59",11243
3591,"3","40.4","-69.73",11242
3591,"2","41.06","-69.73",11241
3590,"3","40.71","-69.79",11238
3590,"2","41.42","-69.79",11237
3590,"1","41.42","-70.73",11236
3590,"4","40.71","-70.72",11239
3589,"1","40.59","-73.66",11220
3589,"4","39.93","-73.65",11223
3589,"3","39.93","-72.79",11222
3589,"2","40.59","-72.78",11221
3588,"3","38.74","-73.75",11218
3588,"2","39.41","-73.74",11217
3588,"1","39.41","-74.6",11216
3588,"4","38.74","-74.6",11219
3587,"1","41.41","-70.87",11196
3587,"4","40.75","-70.87",11199
3587,"3","40.75","-69.99",11198
3587,"2","41.41","-69.99",11197
3586,"1","38.64","-75.07",11188
3586,"4","37.97","-75.07",11191
3586,"3","37.97","-74.22",11190
3586,"2","38.64","-74.22",11189
3585,"1","41.06","-70.6",11184
3585,"4","40.4","-70.59",11187
3585,"3","40.4","-69.73",11186
3585,"2","41.06","-69.73",11185
3583,"1","40.59","-73.66",11176
3583,"4","39.93","-73.65",11179
3583,"3","39.93","-72.79",11178
3583,"2","40.59","-72.78",11177
3582,"1","39.41","-74.6",11156
3582,"4","38.74","-74.6",11159
3582,"3","38.74","-73.75",11158
3582,"2","39.41","-73.74",11157
3581,"3","37.97","-74.22",11142
3581,"2","38.64","-74.22",11141
3581,"1","38.64","-75.07",11140
3581,"4","37.97","-75.07",11143
3580,"3","41.51","-69.95",11138
3580,"2","42.15","-69.94",11137
3580,"1","42.15","-70.79",11136
3580,"4","41.51","-70.79",11139
3579,"1","40.59","-73.66",11116
3579,"4","39.93","-73.65",11119
3579,"3","39.93","-72.79",11118
3579,"2","40.59","-72.78",11117
3578,"3","40.66","-70.16",11098
3578,"2","41.33","-70.16",11097
3578,"1","41.33","-71.04",11096
3578,"4","40.66","-71.04",11099
3577,"1","43.26","-70.69",11040
3577,"2","43.26","-69.79",11041
3577,"3","42.6","-69.79",11042
3577,"4","42.6","-70.69",11043
3576,"1","38.64","-75.07",11036
3576,"4","37.97","-75.07",11039
3576,"3","37.97","-74.22",11038
3576,"2","38.64","-74.22",11037
3575,"3","38.74","-73.75",11022
3575,"2","39.41","-73.74",11021
3575,"1","39.41","-74.6",11020
3575,"4","38.74","-74.6",11023
3574,"1","43.84","-69.22",10996
3574,"4","43.17","-69.22",10999
3574,"3","43.17","-68.3",10998
3574,"2","43.84","-68.3",10997
3573,"1","38.64","-75.07",10988
3573,"4","37.97","-75.07",10991
3573,"3","37.97","-74.22",10990
3573,"2","38.64","-74.22",10989
3572,"1","39.41","-74.6",10976
3572,"4","38.74","-74.6",10979
3572,"3","38.74","-73.75",10978
3572,"2","39.41","-73.74",10977
3571,"1","41.26","-70.39",10968
3571,"4","40.6","-70.38",10971
3571,"3","40.6","-69.52",10970
3571,"2","41.26","-69.51",10969
3570,"1","41.41","-70.75",10964
3570,"4","40.75","-70.74",10967
3570,"3","40.75","-69.87",10966
3570,"2","41.41","-69.86",10965
3569,"3","42.79","-69.62",10962
3569,"2","43.51","-69.61",10961
3569,"1","43.51","-70.61",10960
3569,"4","42.79","-70.6",10963
3568,"1","43.49","-70.58",10956
3568,"4","42.81","-70.57",10959
3568,"3","42.81","-69.64",10958
3568,"2","43.49","-69.64",10957
3567,"1","40.68","-73.92",10940
3567,"4","40.01","-73.92",10943
3567,"3","40.01","-73.05",10942
3567,"2","40.68","-73.05",10941
3566,"1","38.64","-75.07",10936
3566,"4","37.97","-75.07",10939
3566,"3","37.97","-74.22",10938
3566,"2","38.64","-74.22",10937
3565,"1","39.41","-74.6",10916
3565,"4","38.74","-74.6",10919
3565,"3","38.74","-73.75",10918
3565,"2","39.41","-73.74",10917
3564,"1","41.29","-70.34",10896
3564,"4","40.68","-70.33",10899
3564,"3","40.68","-69.5",10898
3564,"2","41.29","-69.49",10897
3563,"1","41.36","-70.21",10876
3563,"4","40.6","-70.21",10879
3563,"3","40.6","-69.26",10878
3563,"2","41.36","-69.25",10877
3562,"1","41.36","-70.21",10856
3562,"4","40.6","-70.21",10859
3562,"3","40.6","-69.26",10858
3562,"2","41.36","-69.25",10857
3561,"1","41.36","-70.21",10836
3561,"4","40.6","-70.21",10839
3561,"3","40.6","-69.26",10838
3561,"2","41.36","-69.25",10837
3560,"1","42.8","-71.11",10808
3560,"4","42.13","-71.11",10811
3560,"3","42.13","-70.21",10810
3560,"2","42.8","-70.21",10809
3559,"1","42.67","-71.29",10804
3559,"4","42.04","-71.28",10807
3559,"3","42.04","-70.3",10806
3559,"2","42.67","-70.3",10805
3558,"1","42.55","-71.04",10800
3558,"4","41.91","-71.04",10803
3558,"3","41.91","-70.14",10802
3558,"2","42.55","-70.13",10801
3557,"1","43.03","-71.09",10796
3557,"4","42.37","-71.09",10799
3557,"3","42.37","-70.2",10798
3557,"2","43.03","-70.19",10797
3556,"1","42.67","-71.29",10792
3556,"4","42.04","-71.28",10795
3556,"3","42.04","-70.3",10794
3556,"2","42.67","-70.3",10793
3555,"1","42.55","-71.04",10788
3555,"4","41.91","-71.04",10791
3555,"3","41.91","-70.14",10790
3555,"2","42.55","-70.13",10789
3554,"1","43.03","-71.09",10784
3554,"4","42.37","-71.09",10787
3554,"3","42.37","-70.2",10786
3554,"2","43.03","-70.19",10785
3553,"1","40.95","-70.06",10752
3553,"4","40.33","-70.05",10755
3553,"3","40.33","-69.25",10754
3553,"2","40.95","-69.25",10753
3552,"1","42.67","-71.29",10744
3552,"4","42.04","-71.28",10747
3552,"3","42.04","-70.3",10746
3552,"2","42.67","-70.3",10745
3551,"1","42.55","-71.04",10740
3551,"4","41.91","-71.04",10743
3551,"3","41.91","-70.14",10742
3551,"2","42.55","-70.13",10741
3550,"1","43.03","-71.09",10712
3550,"4","42.37","-71.09",10715
3550,"3","42.37","-70.2",10714
3550,"2","43.03","-70.19",10713
3549,"1","41.41","-70.63",10696
3549,"4","40.81","-70.62",10699
3549,"3","40.81","-69.83",10698
3549,"2","41.41","-69.83",10697
3548,"1","42.77","-71.08",10692
3548,"4","42.1","-71.08",10695
3548,"3","42.1","-70.18",10694
3548,"2","42.77","-70.18",10693
3547,"1","42.01","-70.14",10672
3547,"4","41.34","-70.13",10675
3547,"3","41.34","-69.25",10674
3547,"2","42.01","-69.24",10673
3546,"2","40.59","-72.78",10668
3546,"1","40.59","-73.66",10671
3546,"4","39.93","-73.65",10670
3546,"3","39.93","-72.79",10669
3545,"1","42.77","-71.08",10664
3545,"4","42.1","-71.08",10667
3545,"3","42.1","-70.18",10666
3545,"2","42.77","-70.18",10665
3543,"1","39.41","-74.6",10656
3543,"4","38.74","-74.6",10659
3543,"3","38.74","-73.75",10658
3543,"2","39.41","-73.74",10657
3542,"1","41.41","-70.63",10652
3542,"4","40.81","-70.62",10655
3542,"3","40.81","-69.83",10654
3542,"2","41.41","-69.83",10653
3541,"1","41.62","-71.24",10640
3541,"4","40.94","-71.24",10643
3541,"3","40.94","-70.33",10642
3541,"2","41.62","-70.33",10641
3539,"2","41.63","-70.54",10632
3539,"1","41.63","-71.43",10635
3539,"3","40.96","-70.54",10634
3539,"4","40.96","-71.42",10633
3538,"2","40.59","-72.78",10613
3538,"1","40.59","-73.66",10612
3538,"4","39.93","-73.65",10615
3538,"3","39.93","-72.79",10614
3537,"1","42.62","-71.04",10592
3537,"4","41.96","-71.03",10595
3537,"3","41.96","-70.15",10594
3537,"2","42.62","-70.14",10593
3536,"1","38.64","-75.07",10588
3536,"4","37.97","-75.07",10591
3536,"3","37.97","-74.22",10590
3536,"2","38.64","-74.22",10589
3535,"1","37.3","-75.44",10580
3535,"4","36.64","-75.43",10583
3535,"3","36.64","-74.61",10582
3535,"2","37.3","-74.61",10581
3534,"1","41.42","-71.16",10584
3534,"4","40.68","-71.16",10587
3534,"3","40.68","-70.18",10586
3534,"2","41.42","-70.17",10585
3533,"1","42.77","-71.08",10572
3533,"4","42.1","-71.08",10575
3533,"3","42.1","-70.18",10574
3533,"2","42.77","-70.18",10573
3532,"1","40.59","-73.66",10556
3532,"4","39.93","-73.65",10559
3532,"3","39.93","-72.79",10558
3532,"2","40.59","-72.78",10557
3531,"2","41.63","-70.54",10552
3531,"1","41.63","-71.43",10555
3531,"3","40.96","-70.54",10554
3531,"4","40.96","-71.42",10553
3530,"1","41.42","-71.16",10544
3530,"4","40.68","-71.16",10547
3530,"3","40.68","-70.18",10546
3530,"2","41.42","-70.17",10545
3529,"1","42.62","-71.04",10540
3529,"4","41.96","-71.03",10543
3529,"3","41.96","-70.15",10542
3529,"2","42.62","-70.14",10541
3528,"2","39.41","-73.74",10536
3528,"3","38.74","-73.75",10539
3528,"4","38.74","-74.6",10538
3528,"1","39.41","-74.6",10537
3527,"1","42.77","-71.08",10532
3527,"4","42.1","-71.08",10535
3527,"3","42.1","-70.18",10534
3527,"2","42.77","-70.18",10533
3526,"1","41.31","-70.97",10512
3526,"4","40.65","-70.97",10515
3526,"3","40.65","-70.09",10514
3526,"2","41.31","-70.09",10513
3525,"1","39","-74.37",10500
3525,"4","38.33","-74.37",10503
3525,"3","38.33","-73.52",10502
3525,"2","39","-73.52",10501
3524,"1","41.28","-70.49",10496
3524,"4","40.6","-70.49",10499
3524,"3","40.6","-69.59",10498
3524,"2","41.28","-69.59",10497
3523,"2","41.63","-70.54",10492
3523,"1","41.63","-71.43",10495
3523,"3","40.96","-70.54",10494
3523,"4","40.96","-71.42",10493
3522,"1","38.64","-75.07",10480
3522,"4","37.97","-75.07",10483
3522,"3","37.97","-74.22",10482
3522,"2","38.64","-74.22",10481
3521,"2","39.41","-73.74",10476
3521,"3","38.74","-73.75",10479
3521,"4","38.74","-74.6",10478
3521,"1","39.41","-74.6",10477
3520,"1","42.77","-71.08",10472
3520,"4","42.1","-71.08",10475
3520,"3","42.1","-70.18",10474
3520,"2","42.77","-70.18",10473
3519,"1","40.59","-73.66",10460
3519,"4","39.93","-73.65",10463
3519,"3","39.93","-72.79",10462
3519,"2","40.59","-72.78",10461
3518,"2","41.63","-70.54",10456
3518,"1","41.63","-71.43",10459
3518,"4","40.96","-71.42",10458
3518,"3","40.96","-70.54",10457
3517,"2","41.63","-70.54",10454
3517,"1","41.63","-71.43",10453
3517,"3","40.96","-70.54",10452
3517,"4","40.96","-71.42",10455
3516,"4","38.74","-74.6",10434
3516,"1","39.41","-74.6",10433
3516,"2","39.41","-73.74",10432
3516,"3","38.74","-73.75",10435
3515,"1","38.64","-75.07",10416
3515,"4","37.97","-75.07",10419
3515,"3","37.97","-74.22",10418
3515,"2","38.64","-74.22",10417
3514,"1","40.59","-73.66",10412
3514,"4","39.93","-73.65",10415
3514,"3","39.93","-72.79",10414
3514,"2","40.59","-72.78",10413
3513,"2","41.63","-70.54",10397
3513,"1","41.63","-71.43",10396
3513,"4","40.96","-71.42",10399
3513,"3","40.96","-70.54",10398
3512,"3","40.96","-70.54",10394
3512,"4","40.96","-71.42",10395
3512,"2","41.63","-70.54",10393
3512,"1","41.63","-71.43",10392
3511,"2","39.41","-73.74",10372
3511,"3","38.74","-73.75",10375
3511,"4","38.74","-74.6",10374
3511,"1","39.41","-74.6",10373
3510,"1","41.12","-70.56",10356
3510,"4","40.43","-70.55",10359
3510,"3","40.43","-69.55",10358
3510,"2","41.12","-69.54",10357
3508,"1","41.23","-70.00",10332
3508,"4","40.45","-70.00",10335
3508,"3","40.45","-68.98",10334
3508,"2","41.23","-68.97",10333
3507,"2","39.41","-73.74",10312
3507,"3","38.74","-73.75",10315
3507,"4","38.74","-74.6",10314
3507,"1","39.41","-74.6",10313
3506,"3","40.01","-73.05",10292
3506,"2","40.68","-73.05",10295
3506,"1","40.68","-73.92",10294
3506,"4","40.01","-73.92",10293
3505,"1","34.567","-76.2",10274
3505,"4","35.233","-76.2",10277
3505,"3","35.233","-75.4",10276
3505,"2","34.567","-75.4",10275
3504,"1","41.12","-70.56",10261
3504,"4","40.43","-70.55",10264
3504,"3","40.43","-69.55",10263
3504,"2","41.12","-69.54",10262
3503,"3","37.97","-74.22",10242
3503,"2","38.64","-74.22",10241
3503,"1","38.64","-75.07",10240
3503,"4","37.97","-75.07",10243
3502,"1","40.68","-73.92",10236
3502,"4","40.01","-73.92",10239
3502,"3","40.01","-73.05",10238
3502,"2","40.68","-73.05",10237
3501,"2","39.41","-73.74",10232
3501,"3","38.74","-73.75",10235
3501,"4","38.74","-74.6",10234
3501,"1","39.41","-74.6",10233
3500,"1","38.64","-75.07",10216
3500,"4","37.97","-75.07",10219
3500,"3","37.97","-74.22",10218
3500,"2","38.64","-74.22",10217
3499,"2","39.41","-73.74",10214
3499,"3","38.74","-73.75",10213
3499,"4","38.74","-74.6",10212
3499,"1","39.41","-74.6",10215
3498,"4","35.233","-76.2",10192
3498,"3","35.233","-75.4",10195
3498,"2","34.567","-75.4",10194
3498,"1","34.567","-76.2",10193
3497,"1","35.57","-75.52",10172
3497,"4","34.9","-75.52",10175
3497,"3","34.9","-74.71",10174
3497,"2","35.57","-74.71",10173
3496,"1","40.59","-73.66",10160
3496,"4","39.93","-73.65",10163
3496,"3","39.93","-72.79",10162
3496,"2","40.59","-72.78",10161
3495,"1","38.64","-75.07",10156
3495,"4","37.97","-75.07",10159
3495,"3","37.97","-74.22",10158
3495,"2","38.64","-74.22",10157
3494,"4","38.74","-74.6",10152
3494,"1","39.41","-74.6",10155
3494,"2","39.41","-73.74",10154
3494,"3","38.74","-73.75",10153
3493,"1","38.64","-75.07",10120
3493,"4","37.97","-75.07",10123
3493,"3","37.97","-74.22",10122
3493,"2","38.64","-74.22",10121
3492,"4","38.74","-74.6",10116
3492,"1","39.41","-74.6",10119
3492,"2","39.41","-73.74",10118
3492,"3","38.74","-73.75",10117
3491,"1","40.59","-73.66",10112
3491,"4","39.93","-73.65",10115
3491,"3","39.93","-72.79",10114
3491,"2","40.59","-72.78",10113
3490,"4","38.74","-74.6",10097
3490,"1","39.41","-74.6",10100
3490,"2","39.41","-73.74",10099
3490,"3","38.74","-73.75",10098
3489,"1","40.59","-73.66",10093
3489,"4","39.93","-73.65",10096
3489,"3","39.93","-72.79",10095
3489,"2","40.59","-72.78",10094
3488,"1","39.41","-74.60",10092
3488,"2","39.41","-73.74",8145
3488,"3","38.74","-73.75",8144
3488,"4","38.74","-74.60",8147
3487,"1","40.59","-73.66",10072
3487,"4","39.93","-73.65",10075
3487,"3","39.93","-72.79",10074
3487,"2","40.59","-72.78",10073
3486,"1","41.34","-70.54",10052
3486,"4","40.58","-70.53",10055
3486,"3","40.58","-69.53",10054
3486,"2","41.34","-69.53",10053
3485,"3","37.97","-74.22",10034
3485,"2","38.64","-74.22",10033
3485,"1","38.64","-75.07",10032
3485,"4","37.97","-75.07",10035
3484,"1","41.34","-70.54",10014
3484,"4","40.58","-70.53",10013
3484,"3","40.58","-69.53",10012
3484,"2","41.34","-69.53",10015
3483,"1","43.6","-68.96",9992
3483,"4","42.94","-68.96",9995
3483,"3","42.94","-68.05",9994
3483,"2","43.6","-68.05",9993
3482,"3","40.58","-69.53",9988
3482,"2","41.34","-69.53",9991
3482,"1","41.34","-70.54",9990
3482,"4","40.58","-70.53",9989
3481,"3","40.58","-69.53",9981
3481,"2","41.34","-69.53",9980
3481,"1","41.34","-70.54",9979
3481,"4","40.58","-70.53",9982
3480,"1","41.34","-70.54",9959
3480,"4","40.58","-70.53",9962
3480,"3","40.58","-69.53",9961
3480,"2","41.34","-69.53",9960
3479,"4","36.233","-76.0",9951
3479,"3","36.233","-75.183",9950
3479,"2","35.583","-75.183",9949
3479,"1","35.583","-76.0",9948
3478,"1","38.64","-75.07",9955
3478,"2","38.64","-74.22",9958
3478,"3","37.97","-74.22",9957
3478,"4","37.97","-75.07",9956
3477,"1","41.34","-70.54",9908
3477,"4","40.58","-70.53",9911
3477,"3","40.58","-69.53",9910
3477,"2","41.34","-69.53",9909
3476,"1","41.43","-70.54",9888
3476,"4","40.68","-70.54",9891
3476,"3","40.68","-69.5",9890
3476,"2","41.43","-69.5",9889
3475,"1","41.4","-70.5",9868
3475,"4","40.67","-70.49",9871
3475,"3","40.67","-69.54",9870
3475,"2","41.4","-69.53",9869
3474,"3","40.35","-69",9860
3474,"2","41.01","-69",9863
3474,"1","41.01","-69.87",9862
3474,"4","40.35","-69.86",9861
3473,"1","41.4","-70.5",9856
3473,"4","40.67","-70.49",9859
3473,"3","40.67","-69.54",9858
3473,"2","41.4","-69.53",9857
3472,"1","40.43","-69.19",9852
3472,"4","40.43","-70.06",9855
3472,"3","41.09","-70.06",9854
3472,"2","41.09","-69.19",9853
3471,"1","40.67","-69.53",9848
3471,"4","40.67","-70.5",9851
3471,"3","41.4","-70.5",9850
3471,"2","41.4","-69.53",9849
3470,"3","40.35","-69",9830
3470,"2","41.01","-69",9829
3470,"1","41.01","-69.87",9828
3470,"4","40.35","-69.86",9831
3469,"3","40.73","-70.39",9770
3469,"4","40.73","-71.27",9771
3469,"2","41.39","-70.39",9769
3469,"1","41.39","-71.27",9768
3468,"1","41.583","-69.5",9692
3468,"4","41.583","-70.367",9695
3468,"3","42.267","-70.367",9694
3468,"2","42.267","-69.5",9693
3467,"3","42","-69.66",9690
3467,"2","42.67","-69.66",9689
3467,"1","42.67","-70.56",9688
3467,"4","42","-70.56",9691
3466,"1","42.65","-71.1",9668
3466,"4","41.9","-71.09",9671
3466,"3","41.9","-70.15",9670
3466,"2","42.65","-70.14",9669
3465,"1","42.65","-71.1",9664
3465,"4","41.9","-71.09",9667
3465,"3","41.9","-70.15",9666
3465,"2","42.65","-70.14",9665
3462,"1","41.94","-70.27",9648
3462,"4","41.25","-70.27",9651
3462,"3","41.25","-69.39",9650
3462,"2","41.94","-69.39",9649
3461,"1","41.02","-70.77",9644
3461,"4","40.32","-70.77",9647
3461,"3","40.32","-69.84",9646
3461,"2","41.02","-69.84",9645
3460,"3","40.67","-69.65",9640
3460,"2","41.38","-69.65",9643
3460,"1","41.38","-70.59",9642
3460,"4","40.67","-70.58",9641
3459,"1","42.65","-71.1",9636
3459,"4","41.9","-71.09",9639
3459,"3","41.9","-70.15",9638
3459,"2","42.65","-70.14",9637
3458,"1","40.7","-71.57",9616
3458,"4","40.04","-71.57",9619
3458,"3","40.04","-70.75",9618
3458,"2","40.7","-70.75",9617
3457,"1","41.02","-70.77",9576
3457,"4","40.32","-70.77",9579
3457,"3","40.32","-69.84",9578
3457,"2","41.02","-69.84",9577
3456,"3","40.67","-69.65",9572
3456,"2","41.38","-69.65",9575
3456,"1","41.38","-70.59",9574
3456,"4","40.67","-70.58",9573
3455,"3","40.69","-70.25",9568
3455,"2","41.35","-70.25",9571
3455,"1","41.35","-71.1",9570
3455,"4","40.69","-71.09",9569
3453,"3","42.14","-70.16",9562
3453,"2","42.81","-70.15",9561
3453,"1","42.81","-71.06",9560
3453,"4","42.14","-71.05",9563
3452,"3","40.67","-69.65",9524
3452,"2","41.38","-69.65",9531
3452,"1","41.38","-70.59",9526
3452,"4","40.67","-70.58",9525
3451,"3","40.69","-70.25",9518
3451,"2","41.35","-70.25",9517
3451,"1","41.35","-71.1",9516
3451,"4","40.69","-71.09",9519
3450,"3","40.67","-69.65",9500
3450,"2","41.38","-69.65",9503
3450,"1","41.38","-70.59",9502
3450,"4","40.67","-70.58",9501
3449,"1","41.35","-71.1",9496
3449,"2","41.35","-70.25",9497
3449,"3","40.69","-70.25",9498
3449,"4","40.69","-71.09",9499
3448,"1","37.16","-75.67",9476
3448,"4","36.53","-75.66",9479
3448,"3","36.53","-74.85",9478
3448,"2","37.16","-74.85",9477
3447,"1","39.41","-74.6",9460
3447,"4","38.74","-74.6",9463
3447,"3","38.74","-73.75",9462
3447,"2","39.41","-73.74",9461
3446,"1","42.66","-70.86",9456
3446,"4","42","-70.85",9459
3446,"3","42","-69.96",9458
3446,"2","42.66","-69.95",9457
3445,"3","40.67","-69.65",9436
3445,"2","41.38","-69.65",9439
3445,"1","41.38","-70.59",9438
3445,"4","40.67","-70.58",9437
3444,"1","38.99","-74.43",9416
3444,"4","38.32","-74.43",9419
3444,"3","38.32","-73.58",9418
3444,"2","38.99","-73.57",9417
3443,"1","39.41","-74.6",9400
3443,"4","38.74","-74.6",9403
3443,"3","38.74","-73.75",9402
3443,"2","39.41","-73.74",9401
3442,"1","42.66","-70.86",9396
3442,"4","42","-70.85",9399
3442,"3","42","-69.96",9398
3442,"2","42.66","-69.95",9397
3441,"3","40.67","-69.65",9378
3441,"2","41.38","-69.65",9377
3441,"1","41.38","-70.59",9376
3441,"4","40.67","-70.58",9379
3440,"1","39.41","-74.6",9336
3440,"4","38.74","-74.6",9339
3440,"3","38.74","-73.75",9338
3440,"2","39.41","-73.74",9337
3439,"1","41.38","-70.59",9332
3439,"4","40.67","-70.58",9335
3439,"3","40.67","-69.65",9334
3439,"2","41.38","-69.65",9333
3438,"1","42.79","-70.76",9312
3438,"4","42.12","-70.75",9315
3438,"3","42.12","-69.86",9314
3438,"2","42.79","-69.85",9313
3437,"1","35.633","-75.46",9300
3437,"2","35.633","-74.8",9301
3437,"3","34.95","-74.8",9305
3437,"4","34.95","-75.633",9303
3437,"5","35.216","-75.633",9304
3437,"6","35.216","-75.528",9302
3436,"1","39.41","-74.6",9292
